iter	Passed	Remaining
719	18153	7059
720	18182	7035
721	18208	7011
722	18234	6986
723	18257	6960
724	18281	6934
725	18304	6908
726	18328	6882
727	18354	6857
728	18379	6832
729	18405	6807
730	18429	6781
731	18453	6756
732	18478	6730
733	18501	6704
734	18529	6680
735	18557	6656
736	18580	6630
737	18603	6604
738	18622	6577
739	18645	6550
740	18666	6524
741	18690	6498
742	18716	6474
743	18740	6448
744	18762	6422
745	18784	6395
746	18805	6369
747	18857	6353
748	18897	6332
749	18923	6307
750	18944	6281
751	18967	6255
752	18989	6228
753	19012	6202
754	19034	6176
755	19057	6150
756	19078	6124
757	19102	6098
758	19122	6071
759	19145	6045
760	19167	6019
761	19188	5993
762	19209	5966
763	19231	5940
764	19252	5914
765	19273	5887
766	19294	5861
767	19316	5835
768	19338	5809
769	19361	5783
770	19383	5757
771	19406	5731
772	19431	5706
773	19454	5680
774	19477	5654
775	19500	5628
776	19526	5604
777	19550	5578
778	19575	5553
779	19600	5528
780	19622	5502
781	19645	5476
782	19668	5450
783	19688	5424
784	19710	5398
785	19732	5372
786	19755	5346
787	19778	5321
788	19802	5295
789	19823	5269
790	19846	5243
791	19869	5218
792	19891	5192
793	19919	5167
794	19948	5144
795	19976	5119
796	20001	5094
797	20027	5069
798	20062	5046
799	20094	5023
800	20115	4997
801	20137	4971
802	20161	4946
803	20184	4920
804	20206	4894
805	20229	4869
806	20252	4843
807	20277	4818
808	20302	4793
809	20326	4768
810	20351	4742
811	20379	4718
812	20403	4692
813	20429	4668
814	20453	4642
815	20477	4617
816	20500	4591
817	20523	4566
818	20546	4540
819	20571	4515
820	20596	4490
821	20621	4465
822	20646	4440
823	20669	4414
824	20696	4390
825	20721	4365
826	20747	4340
827	20771	4314
828	20796	4289
829	20821	4264
830	20844	4239
831	20867	4213
832	20889	4187
833	20911	4162
834	20933	4136
835	20956	4111
836	20978	4085
837	21000	4059
838	21022	4034
839	21044	4008
840	21066	3982
841	21107	3960
842	21129	3935
843	21149	3909
844	21171	3883
845	21194	3858
846	21216	3832
847	21239	3807
848	21260	3781
849	21281	3755
850	21304	3730
851	21326	3704
852	21347	3678
853	21369	3653
854	21393	3628
855	21421	3603
856	21442	3577
857	21465	3552
858	21488	3527
859	21510	3501
860	21534	3476
861	21557	3451
862	21585	3426
863	21607	3401
864	21629	3375
865	21650	3350
866	21672	3324
867	21692	3298
868	21714	3273
869	21736	3247
870	21758	3222
871	21781	3197
872	21804	3172
873	21825	3146
874	21849	3121
875	21871	3095
876	21922	3074
877	21950	3050
878	21971	3024
879	21992	2998
880	22015	2973
881	22037	2948
882	22060	2923
883	22083	2897
884	22105	2872
885	22129	2847
886	22152	2822
887	22174	2796
888	22201	2772
889	22223	2746
890	22245	2721
891	22266	2695
892	22289	2670
893	22312	2645
894	22334	2620
895	22355	2594
896	22383	2570
897	22405	2544
898	22430	2519
899	22453	2494
900	22474	2469
901	22497	2444
902	22520	2419
903	22546	2394
904	22570	2369
905	22593	2344
906	22616	2318
907	22638	2293
908	22661	2268
909	22683	2243
910	22693	2217
911	22715	2191
912	22737	2166
913	22758	2141
914	22780	2116
915	22801	2090
916	22824	2065
917	22847	2040
918	22867	2015
919	22888	1990
920	22911	1965
921	22933	1940
922	22954	1914
923	22977	1889
924	22999	1864
925	23019	1839
926	23041	1814
927	23062	1789
928	23084	1764
929	23108	1739
930	23130	1714
931	23151	1689
932	23175	1664
933	23197	1639
934	23220	1614
935	23242	1589
936	23264	1564
937	23284	1539
938	23309	1514
939	23343	1489
940	23369	1465
941	23392	1440
942	23414	1415
943	23437	1390
944	23456	1365
945	23476	1340
946	23499	1315
947	23524	1290
948	23548	1265
949	23573	1240
950	23596	1215
951	23618	1190
952	23639	1165
953	23662	1140
954	23684	1116
955	23706	1091
956	23728	1066
957	23751	1041
958	23782	1016
959	23805	991
960	23828	967
961	23850	942
962	23871	917
963	23894	892
964	23916	867
965	23938	842
966	23987	818
967	24016	793
968	24040	769
969	24063	744
970	24084	719
971	24108	694
972	24131	669
973	24153	644
974	24175	619
975	24196	595
976	24223	570
977	24244	545
978	24267	520
979	24289	495
980	24310	470
981	24332	446
982	24355	421
983	24377	396
984	24399	371
985	24421	346
986	24443	321
987	24465	297
988	24487	272
989	24508	247
990	24531	222
991	24557	198
992	24581	173
993	24605	148
994	24627	123
995	24650	98
996	24671	74
997	24693	49
998	24713	24
999	24776	0
