iter	RMSE
218	1036.858584
219	1034.555998
220	1033.180696
221	1030.952214
222	1029.264951
223	1027.895261
224	1026.289715
225	1025.067627
226	1022.984805
227	1021.102576
228	1019.402389
229	1017.625493
230	1016.145768
231	1014.916185
232	1013.309635
233	1012.156047
234	1010.698819
235	1008.83097
236	1008.272583
237	1006.796539
238	1005.006732
239	1003.38507
240	1001.503297
241	1000.309029
242	998.8241817
243	997.9234174
244	996.3591442
245	995.3254636
246	994.9007849
247	992.7668652
248	992.6611246
249	992.3917534
250	991.8951369
251	989.8290253
252	988.3735486
253	988.1029693
254	986.8239538
255	986.0828322
256	985.5878151
257	984.3435108
258	982.7642426
259	982.2511724
260	982.1568197
261	981.4299757
262	979.857448
263	979.824515
264	979.1726162
265	978.1923795
266	976.7218252
267	976.4443193
268	975.0776197
269	974.84377
270	973.393144
271	973.0939913
272	972.7513803
273	971.3732764
274	970.3630823
275	969.7245751
276	968.9647489
277	967.1015545
278	965.5692226
279	964.5154623
280	964.4336646
281	963.1217553
282	963.1090561
283	961.7328443
284	960.2834427
285	958.6542773
286	957.9797706
287	956.2918071
288	956.0410745
289	955.7002193
290	954.1654857
291	953.3420326
292	951.6770332
293	951.4722436
294	950.5129536
295	950.4973654
296	949.3763132
297	948.5327279
298	947.6118317
299	946.254923
300	945.3974745
301	943.9792791
302	942.7970839
303	940.6963151
304	939.4815444
305	938.2888536
306	937.1351582
307	936.3406778
308	935.8144528
309	934.423912
310	933.0697366
311	931.5796898
312	929.440241
313	928.5165665
314	926.937719
315	925.4225228
316	924.0615108
317	922.8885171
318	921.5862357
319	920.1797926
320	918.927685
321	918.8250208
322	916.949124
323	916.8028673
324	915.7677616
325	915.066007
326	913.4569114
327	912.6163054
328	912.2732122
329	911.3131501
330	910.8672055
331	910.456905
332	909.727742
333	909.0380546
334	908.5754695
335	907.5792779
336	906.5966878
337	906.1630812
338	904.9731446
339	903.2998106
340	901.9949576
341	900.9443796
342	900.1258523
343	899.4883078
344	898.1626097
345	897.7558328
346	895.8572224
347	894.7772442
348	893.8885668
349	892.65
350	891.4639084
351	890.2661016
352	888.5395148
353	888.0902975
354	887.8304538
355	886.4575638
356	885.3947416
357	884.7085173
358	883.8668064
359	883.0857011
360	881.367655
361	880.715238
362	880.0461584
363	879.5206015
364	878.5564877
365	877.9029074
366	877.0248178
367	875.8899448
368	875.4530443
369	875.3618244
370	874.8769122
371	874.7724084
372	874.1786445
373	873.0272194
374	871.3526503
375	870.9291161
376	870.8694527
377	870.6719361
378	870.3006708
379	869.8188301
380	869.4477981
381	868.0229266
382	866.2104531
383	865.3573612
384	864.1508117
385	863.901097
386	862.96748
387	862.1789262
388	861.1184574
389	860.8529651
390	860.1394532
391	859.6791437
392	858.8279617
393	857.3674899
394	856.0140773
395	854.6717171
396	853.9139048
397	852.5247432
398	850.8569784
399	849.7830805
400	848.6020504
401	848.3992681
402	847.0240779
403	846.2283077
404	845.1457559
405	844.1815625
406	843.0868671
407	841.8393296
408	840.9273722
409	840.5200487
410	839.9085781
411	838.3366668
412	837.5763301
413	836.3640183
414	835.8477113
415	835.1763563
416	835.0633027
417	834.2358949
418	833.9634349
419	833.2037826
420	832.0592358
421	831.8722554
422	830.8940833
423	830.7800291
424	830.0238996
425	829.1712678
426	828.6855171
427	828.0428821
428	827.9214381
429	827.3817676
430	826.2995411
431	825.938679
432	825.1077608
433	824.1992923
434	823.7153976
435	822.4022817
436	822.3713403
437	822.0417126
438	821.397201
439	820.722342
440	820.3324154
441	819.49124
442	818.3658892
443	816.775455
444	816.3474888
445	814.793623
446	814.0137335
447	813.9119916
448	813.3185854
449	812.3497763
450	811.8596893
451	811.7706541
452	810.8651361
453	810.3970596
454	810.3300637
455	809.5193821
456	808.9747658
457	808.6054902
458	807.1869862
459	806.586945
460	805.5252391
461	804.9373033
462	803.9904549
463	803.7378163
464	802.9601664
465	802.291358
466	801.7428311
467	800.579796
468	800.5183665
469	800.3258972
470	799.3234267
471	798.5463033
472	798.4060383
473	798.3056754
474	797.2817323
475	796.8038553
476	796.654516
477	796.5834734
478	795.5633436
479	795.411171
480	795.3133838
481	794.7253695
482	794.6812273
483	794.4327644
484	793.8276563
485	792.6559984
486	792.2777235
487	791.2974095
488	791.148109
489	790.4371022
490	789.3672553
491	788.8220317
492	788.2279036
493	788.0905357
494	787.1450484
495	786.3183109
496	785.4370668
497	784.9198074
498	784.8192891
499	783.8774932
500	783.7500872
501	783.3692043
502	783.1701772
503	782.1766174
504	781.3346264
505	780.6173047
506	780.4777033
507	780.1635775
508	779.8217333
509	778.9738419
510	778.2401094
511	777.3101238
512	776.8007416
513	776.7079743
514	776.1492304
515	775.5922438
516	775.4884104
517	774.7081221
518	774.5933679
519	773.4834416
520	772.8494275
521	772.1138529
522	771.7280664
523	771.3642414
524	771.018017
525	770.4730175
526	770.465657
527	769.8843312
528	769.7196136
529	769.4473894
530	768.7527473
531	768.4484032
532	768.3905356
533	767.7015137
534	767.6992164
535	766.0854155
536	765.7726101
537	764.9073756
538	764.1060227
539	763.5469138
540	763.4894852
541	763.3641585
542	763.278733
543	762.2966909
544	761.9768806
545	761.4926418
546	761.0471285
547	760.17233
548	760.1479887
549	759.5128201
550	758.9533644
551	758.9120871
552	758.2525052
553	757.6167708
554	757.4261474
555	757.1793402
556	756.0853254
557	755.5003399
558	755.4390328
559	755.3697294
560	755.0444097
561	754.8036527
562	754.4772629
563	754.385751
564	753.263724
565	752.9378027
566	752.9021397
567	752.8305135
568	752.7569955
569	751.7587725
570	750.7898992
571	750.2789496
572	749.9999692
573	749.2662749
574	749.0297974
575	748.4209158
576	748.3492962
577	747.6941974
578	747.1486064
579	746.3888324
580	745.6184196
581	744.8234219
582	743.9259185
583	743.8569579
584	743.537586
585	742.612899
586	742.4893078
587	741.9703063
588	741.9309054
589	741.7064337
590	741.1746823
591	740.7822492
592	740.3204149
593	739.463094
594	738.8431035
595	738.1194658
596	737.7083317
597	737.1544392
598	736.6520171
599	736.2884382
600	736.0733881
601	735.5121149
602	735.1425946
603	734.6522354
604	734.2402686
605	734.1508461
606	734.0889822
607	733.5990483
608	733.5410476
609	732.8923532
610	732.0378373
611	731.2146907
612	730.244474
613	729.8794969
614	728.947455
615	728.578771
616	728.2533944
617	727.8858614
618	727.4656459
619	727.1026081
620	726.6063879
621	725.6143707
622	725.5009722
623	724.6266018
624	724.3996591
625	723.7893057
626	722.7865796
627	721.8888803
628	721.1250576
629	720.6964969
630	720.6346528
631	720.5650488
632	719.2647724
633	719.1499561
634	718.5811656
635	717.8955488
636	717.847026
637	716.696909
638	716.3370088
639	715.2983841
640	714.8062823
641	714.735003
642	714.200188
643	713.7284037
644	713.6418498
645	713.6289708
646	713.5489375
647	713.5054139
648	713.2242148
649	712.7021352
650	711.9153899
651	711.1900726
652	710.2997895
653	709.6311456
654	709.4996587
655	709.1448956
656	708.3963596
657	707.6541956
658	707.1698006
659	706.9505401
660	706.9001909
661	706.4128842
662	705.6968326
663	704.3702126
664	704.3090454
665	703.698472
666	703.6827927
667	703.6176872
668	703.0246708
669	702.9556562
670	702.0209769
671	701.3917552
672	700.6320976
673	700.0687654
674	700.0084985
675	699.1701388
676	699.0737304
677	698.9657876
678	698.502811
679	698.3354764
680	697.8549359
681	697.2645885
682	696.8352168
683	696.6833097
684	695.9479119
685	695.939274
686	695.0879375
687	694.6502929
688	693.5811717
689	693.0046093
690	692.7738477
691	691.8387828
692	691.0128978
693	689.8854761
694	689.3144272
695	689.2763067
696	689.2243745
697	688.8679446
698	688.1555788
699	687.6599267
700	687.4640159
701	686.6185151
702	686.3489486
703	686.0431724
704	685.5214812
705	684.642796
706	684.5437554
707	684.0564637
708	683.6377684
709	683.2063877
710	683.0908023
711	682.5143157
712	682.4177871
713	681.7637516
714	680.9138036
715	680.8368756
716	680.4899313
717	680.4217306
718	680.3388539
719	679.5079269
720	679.4320839
721	679.3124428
722	678.9697171
723	678.850123
724	678.2530297
725	678.1711544
726	677.6404468
727	677.3993621
728	677.3613958
729	677.2684265
730	676.7425902
731	675.9139598
732	675.5247044
733	675.1355976
734	674.6247121
735	674.479888
736	673.7638561
737	673.0198841
738	672.3496726
739	671.8259978
740	671.3684224
741	670.8007475
742	670.6847784
743	669.6048862
744	668.7901045
745	668.6033275
746	668.5353524
747	668.2398479
748	668.0592748
749	667.3823951
750	667.2882926
751	666.5373696
752	666.4683049
753	666.0115369
754	665.7172677
755	665.4441658
756	665.1198422
757	664.7532595
758	664.2394617
759	663.615803
760	663.2219798
761	662.6761756
762	662.271717
763	661.8541215
764	660.9357519
765	660.5750461
766	660.0710917
767	659.5019613
768	659.2921679
769	658.5394001
770	658.2487193
771	657.4264794
772	656.8256629
773	655.9965254
774	655.7653868
775	655.3484747
776	655.2030244
777	654.3865795
778	653.981965
779	653.2458588
780	652.7660964
781	652.5943608
782	652.2689598
783	652.2235025
784	651.7405977
785	651.2856699
786	651.0215271
787	650.439185
788	650.3199341
789	650.2867052
790	649.5984033
791	648.9665679
792	648.7049766
793	647.7144905
794	647.6634106
795	647.395373
796	646.8350191
797	646.3090771
798	645.6758872
799	645.2748807
800	644.7851451
801	644.1549005
802	643.7413524
803	643.0643893
804	642.6044952
805	642.3883947
806	642.0907981
807	641.5920325
808	641.1977799
809	640.9101011
810	640.6882233
811	640.5201302
812	640.4413431
813	640.1692702
814	640.1214592
815	639.9422546
816	639.3047479
817	639.12925
818	639.0977574
819	638.4025093
820	637.7339649
821	637.3044479
822	637.0717536
823	636.7617872
824	636.713125
825	636.6772874
826	636.3876712
827	635.8654019
828	635.8589695
829	635.1978304
830	635.0425019
831	634.5888734
832	634.1189904
833	634.0615019
834	633.6805826
835	633.2621489
836	633.1939183
837	633.1256317
838	632.8149033
839	632.730506
840	632.5664495
841	632.2906023
842	631.3928669
843	630.9735972
844	630.5446505
845	630.5375504
846	630.5153558
847	630.3008675
848	630.1698595
849	629.8348745
850	629.1601033
851	628.87444
852	628.8197068
853	628.3728621
854	628.2541098
855	627.9595065
856	627.8982128
857	627.782921
858	627.7472897
859	627.7164809
860	627.6969396
861	627.0342927
862	626.6512393
863	625.8175611
864	625.5534708
865	625.3386171
866	624.9305064
867	624.1368829
868	623.7656368
869	623.3708034
870	622.7117271
871	622.6358258
872	621.7205688
873	620.9798995
874	620.2783724
875	619.4122693
876	619.1118052
877	619.0417148
878	618.9896542
879	618.8806964
880	618.7971121
881	618.7086094
882	618.683429
883	618.4151671
884	618.2848801
885	617.8451418
886	617.5757676
887	617.197988
888	617.0655649
889	616.8934887
890	616.3474475
891	616.2575008
892	615.7140601
893	615.32136
894	614.8467087
895	614.5297555
896	614.4332613
897	614.3663029
898	614.0298105
899	613.5023433
900	613.0971633
901	612.8850787
902	612.2127725
903	612.0955933
904	611.9588569
905	611.7665135
906	611.1334276
907	610.8331836
908	610.7775292
909	610.6454899
910	610.6419505
911	610.3855618
912	610.3779556
913	610.33661
914	610.2337051
915	610.1633893
916	609.5916144
917	609.352591
918	608.6710726
919	608.2303371
920	607.9037007
921	607.1880005
922	607.0290817
923	606.6814225
924	606.6096302
925	606.6087439
926	606.1577313
927	606.08347
928	605.531268
929	605.4834427
930	605.2915492
931	604.7838005
932	604.1333339
933	604.0166872
934	603.5468756
935	603.3288911
936	602.6957278
937	602.3666389
938	601.8794773
939	601.7233329
940	601.3387459
941	600.6477914
942	599.8609736
943	599.8060213
944	599.7772337
945	599.7211053
946	599.2858425
947	598.5915331
948	598.1758762
949	597.7434467
950	597.3674851
951	596.464226
952	596.0512343
953	595.2531165
954	594.7299339
955	593.9866483
956	593.434244
957	593.0213153
958	592.4047253
959	592.3918754
960	592.3309247
961	591.6809703
962	591.6438462
963	591.2990024
964	590.6523201
965	590.6241769
966	589.9390977
967	589.2665638
968	589.2147063
969	589.1643687
970	589.1190678
971	588.5934025
972	588.3644488
973	588.2711565
974	587.5693318
975	587.1298292
976	586.9023125
977	586.8583093
978	586.811923
979	586.4217206
980	586.0398752
981	585.8150081
982	585.3198571
983	584.9725879
984	584.4602845
985	584.340713
986	584.2271498
987	583.9231623
988	583.503726
989	583.169895
990	582.9944225
991	582.9694937
992	582.738683
993	582.6556009
994	582.6022121
995	582.2270502
996	582.1579843
997	581.8633253
998	581.7893426
999	581.1659668
